"probeID","CpG_chrm","CpG_beg","CpG_end","probe_strand","CpG_sites_hg19","CHR","Probe_SNPs","gene","TSS_position","UCSC_CpG_Islands_Name","Feature_Type","predict","prob"
"cg12844277","chr14",47544243,47544245,"+","14:47544244","14","","MDGA2","Body","","","Updated_Hypo_MS4",0.326792984670266
"cg12878228","chr7",142456123,142456125,"+","7:142456124","7","","PRSS1","TSS1500","","","Updated_Hypo_MS4",0.214909844282642
"cg12929160","chr13",77030644,77030646,"-","13:77030645","13","","","","","","Updated_Hypo_MS4",0.434626234601671
"cg12930930","chr11",5372502,5372504,"+","11:5372503","11","","OR51B6","TSS1500","","","Updated_Hypo_MS4",0.285661848553915
"cg12934788","chr18",44099027,44099029,"-","18:44099028","18","","LOXHD1","Body","","","Updated_Hypo_MS4",0.196365846110602
"cg12934788","chr18",44099027,44099029,"-","18:44099028","18","","LOXHD1","1stExon","","","Updated_Hypo_MS4",0.196365846110602
"cg12934788","chr18",44099027,44099029,"-","18:44099028","18","","LOXHD1","5'UTR","","","Updated_Hypo_MS4",0.196365846110602
"cg12957986","chr1",111061828,111061830,"+","1:111061829","1","","KCNA10","TSS200","","","Updated_Hypo_MS4",0.255179768542418
"cg12990035","chr3",98690539,98690541,"-","3:98690540","3","","","","","","Updated_Hypo_MS4",0.30863004003271
"cg13067635","chr1",5526683,5526685,"+","1:5526684","1","","","","","","Updated_Hypo_MS4",0.435998470821752
"cg13220569","chr12",5155342,5155344,"-","12:5155343","12","","KCNA5","3'UTR","chr12:5153012-5154346","S_Shore","Updated_Hypo_MS4",0.344833252114007
"cg13220569","chr12",5155342,5155344,"-","12:5155343","12","","KCNA5","1stExon","chr12:5153012-5154346","S_Shore","Updated_Hypo_MS4",0.344833252114007
"cg13257690","chr14",101908751,101908753,"-","14:101908752","14","","","","chr14:101908781-101909022","N_Shore","Updated_Hypo_MS4",0.1954165818745
"cg13280803","chr11",30255942,30255944,"+","11:30255943","11","","FSHB","3'UTR","","","Updated_Hypo_MS4",0.345865423039408
"cg13408605","chr20",1639815,1639817,"+","20:1639816","20","","SIRPG","TSS1500","","","Updated_Hypo_MS4",0.332277391277558
"cg13414270","chr2",45465394,45465396,"+","2:45465395","2","","","","","","Updated_Hypo_MS4",0.345523425073637
"cg13430053","chr2",150932622,150932624,"+","2:150932623","2","","","","","","Updated_Hypo_MS4",0.317086940524978
"cg13462957","chr7",142493731,142493733,"+","7:142493732","7","","","","chr7:142494563-142495248","N_Shore","Updated_Hypo_MS4",0.361058748602156
"cg13488011","chr15",81466840,81466842,"+","15:81466841","15","","","","","","Updated_Hypo_MS4",0.334198331774913
"cg13502540","chr6",31166511,31166513,"-","6:31166512","6","rs9404982","HCG27","Body","chr6:31165412-31165923","S_Shore","Updated_Hypo_MS4",0.31613860557608
"cg13549174","chr9",133910263,133910265,"+","9:133910264","9","","LAMC3","Body","chr9:133911564-133911838","N_Shore","Updated_Hypo_MS4",0.311865859012697
"cg13550670","chr14",70547431,70547433,"-","14:70547432","14","","SLC8A3","TSS1500","","","Updated_Hypo_MS4",0.235252178901667
"cg13550670","chr14",70547431,70547433,"-","14:70547432","14","","SLC8A3","Body","","","Updated_Hypo_MS4",0.235252178901667
"cg13644626","chr9",112545350,112545352,"+","9:112545351","9","","PALM2","Body","chr9:112542131-112542667","S_Shelf","Updated_Hypo_MS4",0.330180878532894
"cg13644626","chr9",112545350,112545352,"+","9:112545351","9","","PALM2-AKAP2","Body","chr9:112542131-112542667","S_Shelf","Updated_Hypo_MS4",0.330180878532894
"cg13690280","chr9",112562313,112562315,"-","9:112562314","9","","PALM2","Body","","","Updated_Hypo_MS4",0.34590667214955
"cg13690280","chr9",112562313,112562315,"-","9:112562314","9","","PALM2-AKAP2","Body","","","Updated_Hypo_MS4",0.34590667214955
"cg13742513","chr19",6433824,6433826,"-","19:6433825","19","","SLC25A41","TSS200","","","Updated_Hypo_MS4",0.276331871214224
"cg13840174","chr1",18693461,18693463,"+","1:18693462","1","","IGSF21","Body","chr1:18691874-18692081","S_Shore","Updated_Hypo_MS4",0.315216844095876
"cg13844500","chr11",123495492,123495494,"-","11:123495493","11","","","","","","Updated_Hypo_MS4",0.239894241070752
"cg13867370","chr9",71589562,71589564,"-","9:71589563","9","","PIP5K1B","Body","","","Updated_Hypo_MS4",0.343282415255092
"cg13894535","chr5",35919490,35919492,"-","5:35919491","5","rs6872175","CAPSL","Body","","","Updated_Hypo_MS4",0.445231521957469
"cg13930766","chr9",122577344,122577346,"-","9:122577345","9","","","","","","Updated_Hypo_MS4",0.423431685711843
"cg14010720","chr20",62168877,62168879,"-","20:62168878","20","","PTK6","TSS200","chr20:62168432-62168684","S_Shore","Updated_Hypo_MS4",0.232226255265846
"cg14026101","chr1",248737257,248737259,"+","1:248737258","1","rs74498773","OR2T3","1stExon","","","Updated_Hypo_MS4",0.27625842966207
"cg14126608","chr11",122846539,122846541,"+","11:122846540","11","","","","chr11:122847494-122848608","N_Shore","Updated_Hypo_MS4",0.267865285931533
"cg14128411","chr2",1926906,1926908,"-","2:1926907","2","rs80078908","MYT1L","Body","","","Updated_Hypo_MS4",0.310614180494269
"cg14165142","chr20",3778654,3778656,"+","20:3778655","20","","CDC25B","Body","chr20:3776618-3777374","S_Shore","Updated_Hypo_MS4",0.307487780991201
"cg14214856","chr10",36965361,36965363,"-","10:36965362","10","","","","","","Updated_Hypo_MS4",0.30025753322163
"cg14224444","chr6",118587189,118587191,"-","6:118587190","6","","SLC35F1","Body","","","Updated_Hypo_MS4",0.29522865692595
"cg14269191","chr11",5346248,5346250,"+","11:5346249","11","","OR51B2","TSS1500","","","Updated_Hypo_MS4",0.290962727689281
"cg14313576","chr3",134339987,134339989,"+","3:134339988","3","","KY","Body","","","Updated_Hypo_MS4",0.336843792997285
"cg14366598","chr14",23841753,23841755,"-","14:23841754","14","","IL25","TSS1500","","","Updated_Hypo_MS4",0.283843577711231
"cg14462017","chr18",40853832,40853834,"-","18:40853833","18","","SYT4","Body","","","Updated_Hypo_MS4",0.328488354348011
"cg14502847","chr9",18490008,18490010,"-","9:18490009","9","","ADAMTSL1","Body","","","Updated_Hypo_MS4",0.228655291830025
"cg14569837","chr11",55798205,55798207,"+","11:55798206","11","","OR5AS1","1stExon","","","Updated_Hypo_MS4",0.219696227958396
"cg14596108","chr22",49146583,49146585,"-","22:49146584","22","","FAM19A5","3'UTR","chr22:49145736-49147208","Island","Updated_Hypo_MS4",0.294789953464454
"cg14671011","chr5",134544422,134544424,"-","5:134544423","5","","","","","","Updated_Hypo_MS4",0.435977468510492
"cg14698665","chr5",11389289,11389291,"+","5:11389290","5","","CTNND2","Body","chr5:11384681-11385521","S_Shelf","Updated_Hypo_MS4",0.342337588943045
"cg14709239","chr2",121098463,121098465,"-","2:121098464","2","","","","chr2:121101046-121101432","N_Shelf","Updated_Hypo_MS4",0.335392272931798
"cg14771419","chr7",142012987,142012989,"-","7:142012988","7","","","","","","Updated_Hypo_MS4",0.267043526553339
"cg14784922","chr11",8199970,8199972,"+","11:8199971","11","","","","","","Updated_Hypo_MS4",0.245400832820531
"cg14856914","chr10",86018581,86018583,"-","10:86018582","10","rs76834304","RGR","3'UTR","","","Updated_Hypo_MS4",0.245792001005691
"cg14928510","chr19",55449438,55449440,"-","19:55449439","19","","NLRP7","Body","chr19:55450822-55451128","N_Shore","Updated_Hypo_MS4",0.356595686629059
"cg15029037","chr4",146729163,146729165,"+","4:146729164","4","","ZNF827","Body","","","Updated_Hypo_MS4",0.536078060508948
"cg15029747","chr15",24823712,24823714,"-","15:24823713","15","","PWRN1","Body","","","Updated_Hypo_MS4",0.260022487968398
"cg15084269","chr1",180993236,180993238,"+","1:180993237","1","","STX6","TSS1500","chr1:180991227-180991465","S_Shore","Updated_Hypo_MS4",0.284177838601234
"cg15141868","chr7",37959965,37959967,"+","7:37959966","7","","EPDR1","TSS200","chr7:37960316-37961046","N_Shore","Updated_Hypo_MS4",0.380706006427392
"cg15147833","chr1",247921671,247921673,"+","1:247921672","1","","OR1C1","1stExon","","","Updated_Hypo_MS4",0.310322673350478
"cg15231462","chr1",247769250,247769252,"+","1:247769251","1","","OR2G3","1stExon","","","Updated_Hypo_MS4",0.425737289220857
"cg15331705","chr8",129180009,129180011,"+","8:129180010","8","","","","","","Updated_Hypo_MS4",0.278643381609057
"cg15355719","chr11",64503520,64503522,"-","11:64503521","11","rs33956572","RASGRP2","Body","","","Updated_Hypo_MS4",0.311658400342273
"cg15444472","chr18",54792609,54792611,"-","18:54792610","18","","","","chr18:54788959-54789194","S_Shelf","Updated_Hypo_MS4",0.273875742597569
"cg15471388","chr14",49360791,49360793,"+","14:49360792","14","","","","","","Updated_Hypo_MS4",0.373386074352722
"cg15498563","chr11",89443661,89443663,"+","11:89443662","11","","TRIM77","1stExon","","","Updated_Hypo_MS4",0.231722430936977
"cg15519508","chr14",23862193,23862195,"+","14:23862194","14","","MYH6","Body","chr14:23859356-23859620","S_Shelf","Updated_Hypo_MS4",0.221111278707966
"cg15534052","chr18",13871103,13871105,"-","18:13871104","18","rs16941274","","","chr18:13868532-13869026","S_Shelf","Updated_Hypo_MS4",0.286661807718596
"cg15618210","chr11",132816802,132816804,"+","11:132816803","11","","OPCML","Body","chr11:132812662-132813075","S_Shelf","Updated_Hypo_MS4",0.26920436017632
"cg15642666","chr19",34174387,34174389,"+","19:34174388","19","","CHST8","5'UTR","chr19:34175344-34175768","N_Shore","Updated_Hypo_MS4",0.269590814037737
"cg15642666","chr19",34174387,34174389,"+","19:34174388","19","","CHST8","TSS1500","chr19:34175344-34175768","N_Shore","Updated_Hypo_MS4",0.269590814037737
"cg15698244","chr6",76073315,76073317,"-","6:76073316","6","","FILIP1","Body","","","Updated_Hypo_MS4",0.296580568465785
"cg15746620","chr19",14785848,14785850,"-","19:14785849","19","","EMR3","TSS200","","","Updated_Hypo_MS4",0.225324547243411
"cg15810386","chr5",31362490,31362492,"+","5:31362491","5","","","","","","Updated_Hypo_MS4",0.253743963945644
"cg15818715","chr22",44577210,44577212,"+","22:44577211","22","","PARVG","TSS200","","","Updated_Hypo_MS4",0.332293010280437
"cg15818715","chr22",44577210,44577212,"+","22:44577211","22","","PARVG","Body","","","Updated_Hypo_MS4",0.332293010280437
"cg15818715","chr22",44577210,44577212,"+","22:44577211","22","","PARVG","5'UTR","","","Updated_Hypo_MS4",0.332293010280437
"cg15847600","chr8",143994999,143995001,"+","8:143995000","8","","CYP11B2","Body","","","Updated_Hypo_MS4",0.203808296051967
"cg15856748","chr13",101629968,101629970,"-","13:101629969","13","","","","","","Updated_Hypo_MS4",0.334348459610207
"cg15858970","chr6",46714020,46714022,"-","6:46714021","6","rs28399199","LOC100287718","TSS1500","","","Updated_Hypo_MS4",0.336419133479931
"cg15888097","chr6",87646461,87646463,"+","6:87646462","6","","HTR1E","TSS1500","chr6:87647253-87647707","N_Shore","Updated_Hypo_MS4",0.233029787169906
"cg15898113","chr8",142532181,142532183,"-","8:142532182","8","","","","chr8:142528185-142529029","S_Shelf","Updated_Hypo_MS4",0.212929918799179
"cg15898536","chr5",1753300,1753302,"+","5:1753301","5","","","","","","Updated_Hypo_MS4",0.260944749228987
"cg15908975","chr7",126698828,126698830,"-","7:126698829","7","","MIR592","TSS1500","","","Updated_Hypo_MS4",0.253262665212028
"cg15908975","chr7",126698828,126698830,"-","7:126698829","7","","GRM8","Body","","","Updated_Hypo_MS4",0.253262665212028
"cg16009120","chr12",8686706,8686708,"-","12:8686707","12","","CLEC4E","3'UTR","","","Updated_Hypo_MS4",0.292427080954674
"cg16055526","chr6",33083286,33083288,"-","6:33083287","6","","HLA-DPB2","Body","chr6:33084740-33084995","N_Shore","Updated_Hypo_MS4",0.209727605294146
"cg16104371","chr4",1538524,1538526,"-","4:1538525","4","","","","chr4:1541591-1541868","N_Shelf","Updated_Hypo_MS4",0.312318677582152
"cg16162122","chr20",62090269,62090271,"-","20:62090270","20","","KCNQ2","Body","chr20:62092326-62092586","N_Shelf","Updated_Hypo_MS4",0.266133299636981
"cg16284238","chr6",87196594,87196596,"+","6:87196595","6","","","","","","Updated_Hypo_MS4",0.431000863757413
"cg16341266","chr7",147256366,147256368,"-","7:147256367","7","","MIR548I4","TSS1500","","","Updated_Hypo_MS4",0.436769869298615
"cg16341266","chr7",147256366,147256368,"-","7:147256367","7","","CNTNAP2","Body","","","Updated_Hypo_MS4",0.436769869298615
"cg16413327","chr16",31215450,31215452,"+","16:31215451","16","","PYCARD","TSS1500","chr16:31213566-31214287","S_Shore","Updated_Hypo_MS4",0.266900623524211
"cg16441044","chr17",56314346,56314348,"+","17:56314347","17","","LPO","TSS1500","","","Updated_Hypo_MS4",0.326505053689826
"cg16446783","chr11",18193359,18193361,"+","11:18193360","11","","MRGPRX4","TSS1500","","","Updated_Hypo_MS4",0.313906791238618
"cg16462648","chr5",55385249,55385251,"-","5:55385250","5","","","","","","Updated_Hypo_MS4",0.295860659039472
"cg16469740","chr7",19018054,19018056,"-","7:19018055","7","","HDAC9","Body","","","Updated_Hypo_MS4",0.287504024465804
"cg16476991","chr13",114831403,114831405,"+","13:114831404","13","","RASA3","Body","","","Updated_Hypo_MS4",0.424836876096814
"cg16488065","chr1",204656749,204656751,"+","1:204656750","1","","","","chr1:204654132-204654885","S_Shore","Updated_Hypo_MS4",0.36433373953237
"cg16501892","chr18",44140573,44140575,"-","18:44140574","18","","LOXHD1","Body","chr18:44140362-44140575","Island","Updated_Hypo_MS4",0.340509314133549
"cg16501892","chr18",44140573,44140575,"-","18:44140574","18","","LOXHD1","TSS1500","chr18:44140362-44140575","Island","Updated_Hypo_MS4",0.340509314133549
"cg16510350","chr4",112477797,112477799,"+","4:112477798","4","","","","","","Updated_Hypo_MS4",0.307283239832638
"cg16540590","chr5",43802495,43802497,"-","5:43802496","5","rs79295549","","","","","Updated_Hypo_MS4",0.391329453738022
"cg16550264","chr12",115813213,115813215,"+","12:115813214","12","","","","","","Updated_Hypo_MS4",0.331382782014341
"cg16557204","chr11",27264213,27264215,"+","11:27264214","11","","","","","","Updated_Hypo_MS4",0.228225880876709
"cg16671674","chr2",142150451,142150453,"+","2:142150452","2","","LRP1B","Body","","","Updated_Hypo_MS4",0.175795609083501
"cg16723381","chr2",127590177,127590179,"+","2:127590178","2","","","","","","Updated_Hypo_MS4",0.256699111386605
"cg16759787","chr14",85667732,85667734,"+","14:85667733","14","","","","","","Updated_Hypo_MS4",0.266300792421028
"cg16780562","chr14",102033250,102033252,"-","14:102033251","14","","","","chr14:102025989-102031567","S_Shore","Updated_Hypo_MS4",0.228267339118041
"cg16794961","chr2",5882031,5882033,"-","2:5882032","2","","","","","","Updated_Hypo_MS4",0.375403932019766
"cg16812893","chr21",31813074,31813076,"+","21:31813075","21","","KRTAP15-1","1stExon","","","Updated_Hypo_MS4",0.40156491271553
"cg16812893","chr21",31813074,31813076,"+","21:31813075","21","","KRTAP15-1","3'UTR","","","Updated_Hypo_MS4",0.40156491271553
"cg16885235","chr13",107853065,107853067,"+","13:107853066","13","","FAM155A","Body","","","Updated_Hypo_MS4",0.297183287419165
"cg16906187","chr13",92047407,92047409,"-","13:92047408","13","rs7330545","","","chr13:92051153-92051716","N_Shelf","Updated_Hypo_MS4",0.252412611207884
"cg16928869","chr20",60397765,60397767,"-","20:60397766","20","","CDH4","Body","","","Updated_Hypo_MS4",0.244654622837225
"cg17007164","chr2",6778798,6778800,"-","2:6778799","2","","","","","","Updated_Hypo_MS4",0.272794025744985
"cg17057086","chr8",133456012,133456014,"-","8:133456013","8","","KCNQ3","Body","","","Updated_Hypo_MS4",0.261865806567686
"cg17067638","chr15",25432269,25432271,"+","15:25432270","15","","SNORD115-10","TSS1500","","","Updated_Hypo_MS4",0.238224379787297
"cg17098965","chr20",52199519,52199521,"-","20:52199520","20","","ZNF217","1stExon","chr20:52198058-52198400","S_Shore","Updated_Hypo_MS4",0.384631750838749
"cg17098965","chr20",52199519,52199521,"-","20:52199520","20","","ZNF217","5'UTR","chr20:52198058-52198400","S_Shore","Updated_Hypo_MS4",0.384631750838749
"cg17165848","chr2",175462451,175462453,"-","2:175462452","2","","WIPF1","5'UTR","","","Updated_Hypo_MS4",0.262190906597983
"cg17191567","chr10",6178318,6178320,"-","10:6178319","10","rs10400165","","","","","Updated_Hypo_MS4",0.268730683903279
"cg17208360","chr15",25483087,25483089,"+","15:25483088","15","","SNORD115-37","TSS200","","","Updated_Hypo_MS4",0.24802887875871
"cg17221083","chr5",136374726,136374728,"-","5:136374727","5","","SPOCK1","Body","","","Updated_Hypo_MS4",0.311598911247019
"cg17242596","chr11",132527295,132527297,"-","11:132527296","11","","OPCML","Body","","","Updated_Hypo_MS4",0.285681328384639
"cg17357062","chr9",137810347,137810349,"+","9:137810348","9","","FCN1","TSS1500","","","Updated_Hypo_MS4",0.329697042328217
"cg17367472","chr21",32254160,32254162,"+","21:32254161","21","","KRTAP11-1","TSS1500","","","Updated_Hypo_MS4",0.242234636077451
"cg17431952","chr5",113806336,113806338,"+","5:113806337","5","","KCNN2","Body","","","Updated_Hypo_MS4",0.394451717216748
"cg17461336","chr7",99441558,99441560,"+","7:99441559","7","","CYP3A43","Body","","","Updated_Hypo_MS4",0.355394673346973
"cg17487029","chr10",86958766,86958768,"+","10:86958767","10","","","","","","Updated_Hypo_MS4",0.437187065506723
"cg17518550","chr1",247712382,247712384,"+","1:247712383","1","","C1orf150","TSS200","","","Updated_Hypo_MS4",0.327996500911898
"cg17519477","chr10",83848596,83848598,"-","10:83848597","10","","NRG3","Body","","","Updated_Hypo_MS4",0.304618097187261
"cg17527177","chr17",45796855,45796857,"+","17:45796856","17","","","","","","Updated_Hypo_MS4",0.418556854988069
"cg17726575","chr2",11606944,11606946,"+","2:11606945","2","","E2F6","TSS1500","chr2:11605743-11606385","S_Shore","Updated_Hypo_MS4",0.29765554687037
"cg17819732","chr1",203147366,203147368,"-","1:203147367","1","","","","","","Updated_Hypo_MS4",0.276260363254746
"cg17857791","chr19",54204448,54204450,"-","19:54204449","19","","MIR520B","TSS200","","","Updated_Hypo_MS4",0.197958013656309
"cg17859772","chr6",42690214,42690216,"+","6:42690215","6","","PRPH2","5'UTR","","","Updated_Hypo_MS4",0.254417257463757
"cg17859772","chr6",42690214,42690216,"+","6:42690215","6","","PRPH2","1stExon","","","Updated_Hypo_MS4",0.254417257463757
"cg17946266","chr6",12747207,12747209,"+","6:12747208","6","","PHACTR1","Body","chr6:12749877-12750499","N_Shelf","Updated_Hypo_MS4",0.290352102614284
"cg18156192","chr1",112320832,112320834,"-","1:112320833","1","rs535183","KCND3","Body","","","Updated_Hypo_MS4",0.286479182252941
"cg18187729","chr8",133117492,133117494,"-","8:133117493","8","","HHLA1","1stExon","","","Updated_Hypo_MS4",0.355738090697348
"cg18234111","chr1",158155756,158155758,"+","1:158155757","1","","CD1D","3'UTR","","","Updated_Hypo_MS4",0.227275281704902
"cg18291443","chr3",157178133,157178135,"-","3:157178134","3","","VEPH1","Body","","","Updated_Hypo_MS4",0.36711548954583
"cg18317694","chr4",64216057,64216059,"-","4:64216058","4","","","","chr4:64214847-64215584","S_Shore","Updated_Hypo_MS4",0.246781251286957
"cg18360873","chr10",133051668,133051670,"-","10:133051669","10","","TCERG1L","Body","","","Updated_Hypo_MS4",0.227005953716451
"cg18374914","chr5",156513859,156513861,"+","5:156513860","5","","HAVCR2","3'UTR","","","Updated_Hypo_MS4",0.226162545588493
"cg18403193","chr6",166349976,166349978,"-","6:166349977","6","","C6orf176","Body","chr6:166353937-166354233","N_Shelf","Updated_Hypo_MS4",0.273241730892938
"cg18410316","chr6",31207787,31207789,"-","6:31207788","6","rs75576171","","","","","Updated_Hypo_MS4",0.255332731393778
"cg18440069","chr14",101488390,101488392,"+","14:101488391","14","","MIR379","TSS200","","","Updated_Hypo_MS4",0.294632047363544
"cg18440069","chr14",101488390,101488392,"+","14:101488391","14","","MIR411","TSS1500","","","Updated_Hypo_MS4",0.294632047363544
"cg18442362","chr7",44677771,44677773,"-","7:44677772","7","","OGDH","Body","","","Updated_Hypo_MS4",0.376729868896226
"cg18504196","chr3",168331448,168331450,"+","3:168331449","3","","C3orf50","Body","","","Updated_Hypo_MS4",0.356772237846071
"cg18513357","chr5",135696687,135696689,"-","5:135696688","5","","TRPC7","Body","chr5:135692397-135693042","S_Shelf","Updated_Hypo_MS4",0.215615664653997
"cg18545695","chr8",69665986,69665988,"-","8:69665987","8","","C8orf34","Body","","","Updated_Hypo_MS4",0.240927985854141
"cg18576057","chr15",98982462,98982464,"+","15:98982463","15","","FAM169B","3'UTR","","","Updated_Hypo_MS4",0.203907887620619
"cg18588811","chr14",101527143,101527145,"-","14:101527144","14","","MIR377","TSS1500","","","Updated_Hypo_MS4",0.280986038679795
"cg18591235","chr19",56704340,56704342,"+","19:56704341","19","","ZSCAN5B","1stExon","","","Updated_Hypo_MS4",0.238980416338224
"cg18640514","chr7",53664245,53664247,"+","7:53664246","7","","","","","","Updated_Hypo_MS4",0.278982720667859
"cg18659867","chr10",80007738,80007740,"+","10:80007739","10","","","","","","Updated_Hypo_MS4",0.394951726753064
"cg18685330","chr7",70746876,70746878,"-","7:70746877","7","rs1558003","WBSCR17","Body","","","Updated_Hypo_MS4",0.32620705066493
"cg18764164","chr11",5248425,5248427,"+","11:5248426","11","","HBB","TSS200","","","Updated_Hypo_MS4",0.253611207793895
"cg18795959","chr5",166208485,166208487,"+","5:166208486","5","","","","","","Updated_Hypo_MS4",0.309686947533017
"cg18813527","chr8",1408242,1408244,"+","8:1408243","8","","","","chr8:1404884-1405094","S_Shelf","Updated_Hypo_MS4",0.275697077184294
"cg18816826","chr1",237168539,237168541,"-","1:237168540","1","","","","","","Updated_Hypo_MS4",0.258862254702364
"cg18857759","chr1",248110660,248110662,"-","1:248110661","1","","OR2L8","TSS1500","","","Updated_Hypo_MS4",0.245277613673997
"cg18857759","chr1",248110660,248110662,"-","1:248110661","1","","OR2L13","5'UTR","","","Updated_Hypo_MS4",0.245277613673997
"cg18964082","chr17",32895601,32895603,"-","17:32895602","17","","","","","","Updated_Hypo_MS4",0.199344861204306
"cg19031047","chr19",14377911,14377913,"+","19:14377912","19","","","","chr19:14376688-14376961","S_Shore","Updated_Hypo_MS4",0.255424157806447
"cg19250571","chr11",4869962,4869964,"-","11:4869963","11","rs7117389","OR51S1","1stExon","","","Updated_Hypo_MS4",0.276793373774139
"cg19267254","chr1",15828074,15828076,"+","1:15828075","1","","CASP9","Body","","","Updated_Hypo_MS4",0.210044809032068
"cg19368016","chr10",11187763,11187765,"-","10:11187764","10","","CUGBP2","Body","","","Updated_Hypo_MS4",0.237235502628779
"cg19371121","chr1",175050478,175050480,"+","1:175050479","1","","TNN","Body","chr1:175048550-175048874","S_Shore","Updated_Hypo_MS4",0.33237601286032
"cg19378216","chr20",31870774,31870776,"-","20:31870775","20","","C20orf114","TSS200","","","Updated_Hypo_MS4",0.335361634992308
"cg19438750","chr15",91768904,91768906,"+","15:91768905","15","","SV2B","5'UTR","","","Updated_Hypo_MS4",0.385913727220105
"cg19474983","chr3",97850377,97850379,"-","3:97850378","3","rs73852812","OR5H1","TSS1500","","","Updated_Hypo_MS4",0.28378000252071
"cg19526685","chr8",126963506,126963508,"-","8:126963507","8","","","","","","Updated_Hypo_MS4",0.39902216931279
"cg19554569","chr11",5364832,5364834,"+","11:5364833","11","","OR51B5","TSS200","","","Updated_Hypo_MS4",0.271667101353215
"cg19583265","chr2",101086755,101086757,"+","2:101086756","2","","NMS","TSS200","","","Updated_Hypo_MS4",0.274530139759851
"cg19616339","chr2",69164113,69164115,"+","2:69164114","2","","","","","","Updated_Hypo_MS4",0.407057963875661
"cg19653345","chr22",44577221,44577223,"+","22:44577222","22","","PARVG","5'UTR","","","Updated_Hypo_MS4",0.304190596272541
"cg19653345","chr22",44577221,44577223,"+","22:44577222","22","","PARVG","Body","","","Updated_Hypo_MS4",0.304190596272541
"cg19653345","chr22",44577221,44577223,"+","22:44577222","22","","PARVG","TSS200","","","Updated_Hypo_MS4",0.304190596272541
"cg19735804","chr7",142421811,142421813,"+","7:142421812","7","","","","","","Updated_Hypo_MS4",0.331355606397876
"cg19736047","chr4",177759863,177759865,"-","4:177759864","4","","","","","","Updated_Hypo_MS4",0.270980522012362
"cg19779965","chr5",45135680,45135682,"+","5:45135681","5","","","","","","Updated_Hypo_MS4",0.439336242646409
"cg19807286","chr5",174680742,174680744,"+","5:174680743","5","","","","","","Updated_Hypo_MS4",0.315661112633461
"cg19828416","chr17",56232301,56232303,"-","17:56232302","17","rs8071251","OR4D1","TSS1500","chr17:56234321-56234827","N_Shelf","Updated_Hypo_MS4",0.248364866047154
"cg19871597","chr13",59592286,59592288,"-","13:59592287","13","","","","","","Updated_Hypo_MS4",0.318160825198718
"cg20000866","chr7",33923087,33923089,"-","7:33923088","7","","","","","","Updated_Hypo_MS4",0.236006408636643
"cg20031845","chr7",50306662,50306664,"-","7:50306663","7","","","","","","Updated_Hypo_MS4",0.364740183649502
"cg20054157","chr10",10837079,10837081,"-","10:10837080","10","","SFTA1P","TSS1500","","","Updated_Hypo_MS4",0.272278817269126
"cg20170777","chr17",13972098,13972100,"-","17:13972099","17","rs4792433","COX10","TSS1500","chr17:13972630-13973085","N_Shore","Updated_Hypo_MS4",0.275289165838959
"cg20178075","chr11",113860606,113860608,"+","11:113860607","11","","HTR3A","3'UTR","","","Updated_Hypo_MS4",0.241940083800033
"cg20181079","chr11",59270408,59270410,"-","11:59270409","11","","OR4D11","TSS1500","","","Updated_Hypo_MS4",0.330750459232719
"cg20183519","chr3",109550977,109550979,"+","3:109550978","3","","","","","","Updated_Hypo_MS4",0.301392355159174
"cg20207414","chr12",55423207,55423209,"+","12:55423208","12","","NEUROD4","3'UTR","","","Updated_Hypo_MS4",0.249122531900092
"cg20219053","chr11",81358292,81358294,"+","11:81358293","11","","","","","","Updated_Hypo_MS4",0.345581190544411
"cg20300541","chr17",15295801,15295803,"+","17:15295802","17","","","","","","Updated_Hypo_MS4",0.234243108848956
"cg20347893","chr12",126019865,126019867,"-","12:126019866","12","rs78493369","TMEM132B","Body","chr12:126018100-126018365","S_Shore","Updated_Hypo_MS4",0.195170891589276
"cg20380768","chr7",130125510,130125512,"-","7:130125511","7","","MEST","TSS1500","chr7:130126017-130126801","N_Shore","Updated_Hypo_MS4",0.454439658710462
"cg20506659","chr6",33132942,33132944,"-","6:33132943","6","","COL11A2","Body","chr6:33129291-33129718","S_Shelf","Updated_Hypo_MS4",0.273693790259933
"cg20541752","chr13",54821785,54821787,"+","13:54821786","13","","","","","","Updated_Hypo_MS4",0.322446366654229
"cg20608990","chr2",202097606,202097608,"-","2:202097607","2","","CASP8","TSS1500","","","Updated_Hypo_MS4",0.454798602062513
"cg20617328","chr6",33040609,33040611,"-","6:33040610","6","rs6914348","HLA-DPA1","Body","","","Updated_Hypo_MS4",0.402318699005009
"cg20708990","chr8",114133189,114133191,"+","8:114133190","8","","CSMD3","Body","","","Updated_Hypo_MS4",0.296873102412038
"cg20728490","chr10",98064174,98064176,"+","10:98064175","10","","DNTT","1stExon","","","Updated_Hypo_MS4",0.28443315168651
"cg20728490","chr10",98064174,98064176,"+","10:98064175","10","","DNTT","5'UTR","","","Updated_Hypo_MS4",0.28443315168651
"cg20788020","chr8",105677500,105677502,"+","8:105677501","8","","","","","","Updated_Hypo_MS4",0.368869685424278
"cg20814718","chr8",35091429,35091431,"-","8:35091430","8","","","","chr8:35092679-35093559","N_Shore","Updated_Hypo_MS4",0.342749448204083
"cg20825022","chr2",124920644,124920646,"+","2:124920645","2","","CNTNAP5","Body","","","Updated_Hypo_MS4",0.322549058139848
