probeID,CpG_chrm,CpG_beg,CpG_end,probe_strand,CpG_sites_hg19,CHR,Probe_SNPs,gene,TSS_position,UCSC_CpG_Islands_Name,Feature_Type,signature
cg15389025,chr12,49627933,49627935,-,12:49627934,12,,,,chr12:49628287-49628521,N_Shore,Hypo.MS1
cg15396204,chr1,107348392,107348394,-,1:107348393,1,,,,,,Hypo.MS6
cg15396686,chr10,124897047,124897049,+,10:124897048,10,rs79318388,HMX3,Body,chr10:124894075-124897366,Island,Hyper.MS1
cg15400655,chr4,107994,107996,+,4:107995,4,,ZNF718,Body,chr4:107146-107898,S_Shore,Hyper.MS3
cg15402156,chr19,57669718,57669720,+,19:57669719,19,,DUXA,Body,,,Hypo.MS6
cg15404785,chr14,61727791,61727793,+,14:61727792,14,,,,,,Hypo.MS3
cg15408889,chr5,118623660,118623662,-,5:118623661,5,,TNFAIP8,Body,,,Hypo.MS1
cg15412759,chr6,50683212,50683214,-,6:50683213,6,,TFAP2D,Body,chr6:50682334-50683214,Island,Hyper.MS3
cg15415452,chr13,112759354,112759356,+,13:112759355,13,,,,chr13:112758598-112760491,Island,Hyper.MS1
cg15427886,chr8,55379662,55379664,-,8:55379663,8,,,,chr8:55378928-55380186,Island,Hyper.MS3
cg15428435,chr14,102247680,102247682,-,14:102247681,14,,PPP2R5C,Body,chr14:102247660-102248279,Island,Hyper.MS2
cg15439725,chr4,299310,299312,-,4:299311,4,,,,chr4:298803-299312,Island,Hyper.MS3
cg15444472,chr18,54792609,54792611,-,18:54792610,18,,,,chr18:54788959-54789194,S_Shelf,Hypo.MS1
cg15444478,chr12,130494696,130494698,-,12:130494697,12,rs1624164,,,,,Hypo.MS6
cg15445958,chr6,110266124,110266126,-,6:110266125,6,,,,,,Hypo.MS7
cg15446845,chr3,5470908,5470910,-,3:5470909,3,,,,,,Hypo.MS3
cg15449956,chr8,106331994,106331996,+,8:106331995,8,,ZFPM2,Body,chr8:106330518-106332120,Island,Hyper.MS1
cg15452970,chr1,91190619,91190621,-,1:91190620,1,,,,chr1:91190489-91192804,Island,Hyper.MS2
cg15454698,chr3,14473579,14473581,-,3:14473580,3,,SLC6A6,5'UTR,,,Hypo.MS1
cg15462970,chr10,1444585,1444587,+,10:1444586,10,,ADARB2,Body,,,Hypo.MS3
cg15466862,chr13,112722332,112722334,-,13:112722333,13,,SOX1,1stExon,chr13:112720564-112723582,Island,Hyper.MS3
cg15467646,chr1,22141013,22141015,+,1:22141014,1,,LDLRAD2,Body,chr1:22140891-22141407,Island,Hyper.MS1
cg15471388,chr14,49360791,49360793,+,14:49360792,14,,,,,,Hypo.MS2
cg15475851,chr10,105037348,105037350,+,10:105037349,10,,INA,1stExon,chr10:105036628-105038084,Island,Hyper.MS3
cg15480367,chr14,93389484,93389486,-,14:93389485,14,,CHGA,5'UTR,chr14:93389245-93389899,Island,Hyper.MS2
cg15480367,chr14,93389484,93389486,-,14:93389485,14,,CHGA,1stExon,chr14:93389245-93389899,Island,Hyper.MS2
cg15486123,chr1,152881814,152881816,-,1:152881815,1,,IVL,5'UTR,,,Hypo.MS4
cg15488978,chr10,77166317,77166319,-,10:77166318,10,,C10orf41,Body,chr10:77155128-77169600,Island,Hyper.MS2
cg15497761,chr1,155147396,155147398,+,1:155147397,1,,TRIM46,Body,chr1:155147185-155147444,Island,Hyper.MS1
cg15498306,chr4,164534640,164534642,-,4:164534641,4,rs17043977,1-Mar,Body,,,Hypo.MS6
cg15498306,chr4,164534640,164534642,-,4:164534641,4,rs17043977,1-Mar,1stExon,,,Hypo.MS6
cg15498563,chr11,89443661,89443663,+,11:89443662,11,,TRIM77,1stExon,,,Hypo.MS3
cg15504461,chr3,147140879,147140881,+,3:147140880,3,,,,chr3:147142181-147142391,N_Shore,Hyper.MS2
cg15507486,chr19,46627895,46627897,-,19:46627896,19,,IGFL3,1stExon,,,Hypo.MS4
cg15508809,chr14,29231308,29231310,-,14:29231309,14,,,,chr14:29234889-29235908,N_Shelf,Hyper.MS3
cg15513743,chr1,119528687,119528689,+,1:119528688,1,,TBX15,5'UTR,chr1:119529819-119530712,N_Shore,Hyper.MS3
cg15514380,chr21,38737242,38737244,+,21:38737243,21,,,,,,Hyper.MS2
cg15519508,chr14,23862193,23862195,+,14:23862194,14,,MYH6,Body,chr14:23859356-23859620,S_Shelf,Hypo.MS7
cg15534052,chr18,13871103,13871105,-,18:13871104,18,rs16941274,,,chr18:13868532-13869026,S_Shelf,Hypo.MS7
cg15536663,chr5,111665547,111665549,-,5:111665548,5,,EPB41L4A,Body,,,Hypo.MS5
cg15541630,chr8,87081769,87081771,-,8:87081770,8,,PSKH2,1stExon,chr8:87081653-87082046,Island,Hyper.MS1
cg15549927,chr7,153749755,153749757,-,7:153749756,7,rs3033223,DPP6,TSS200,chr7:153748407-153750444,Island,Hyper.MS3
cg15549927,chr7,153749755,153749757,-,7:153749756,7,rs3033223,DPP6,Body,chr7:153748407-153750444,Island,Hyper.MS3
cg15552238,chr19,14785748,14785750,+,19:14785749,19,,EMR3,TSS200,,,Hypo.MS6
cg15552493,chr2,102387390,102387392,+,2:102387391,2,,MAP4K4,Body,,,Hypo.MS2
cg15555527,chr4,80885980,80885982,+,4:80885981,4,,ANTXR2,Body,chr4:80885844-80886148,Island,Hyper.MS2
cg15556502,chr11,43602844,43602846,+,11:43602845,11,,MIR129-2,TSS200,chr11:43602545-43603215,Island,Hyper.MS1
cg15556672,chr5,68513081,68513083,+,5:68513082,5,,MRPS36,TSS1500,chr5:68513514-68514200,N_Shore,Hypo.MS5
cg15557758,chr1,13828827,13828829,+,1:13828828,1,,,,,,Hypo.MS6
cg15560061,chr19,8576678,8576680,+,19:8576679,19,,ZNF414,Body,chr19:8575818-8576825,Island,Hyper.MS2
cg15564098,chr7,27281345,27281347,+,7:27281346,7,,EVX1,TSS1500,chr7:27282086-27283136,N_Shore,Hyper.MS1
cg15583492,chr10,53575265,53575267,-,10:53575266,10,rs1937715,PRKG1,Body,,,Hypo.MS4
cg15593298,chr3,142681995,142681997,-,3:142681996,3,,PAQR9,1stExon,chr3:142681137-142683268,Island,Hyper.MS1
cg15593510,chr1,158369111,158369113,-,1:158369112,1,,OR10T2,1stExon,,,Hypo.MS6
cg15601264,chr17,54864696,54864698,-,17:54864697,17,,,,,,Hypo.MS1
cg15607672,chr14,57277226,57277228,+,14:57277227,14,,OTX2,TSS200,chr14:57278068-57278287,N_Shore,Hyper.MS1
cg15613420,chr5,134735636,134735638,-,5:134735637,5,,H2AFY,TSS1500,chr5:134734096-134735261,S_Shore,Hyper.MS2
cg15613420,chr5,134735636,134735638,-,5:134735637,5,,H2AFY,TSS200,chr5:134734096-134735261,S_Shore,Hyper.MS2
cg15617155,chr1,63785320,63785322,-,1:63785321,1,,,,chr1:63782394-63790471,Island,Hyper.MS1
cg15618108,chr1,203044676,203044678,+,1:203044677,1,,PPFIA4,Body,chr1:203044722-203045390,N_Shore,Hyper.MS1
cg15618210,chr11,132816802,132816804,+,11:132816803,11,,OPCML,Body,chr11:132812662-132813075,S_Shelf,Hypo.MS2
cg15618978,chr3,160167989,160167991,-,3:160167990,3,,TRIM59,TSS1500,chr3:160167184-160168200,Island,Hyper.MS1
cg15619177,chr11,133449128,133449130,-,11:133449129,11,,,,,,Hypo.MS4
cg15634980,chr6,36253025,36253027,-,6:36253026,6,rs1467911,PNPLA1,Body,,,Hyper.MS1
cg15634980,chr6,36253025,36253027,-,6:36253026,6,rs1467911,PNPLA1,5'UTR,,,Hyper.MS1
cg15642666,chr19,34174387,34174389,+,19:34174388,19,,CHST8,TSS1500,chr19:34175344-34175768,N_Shore,Hypo.MS7
cg15642666,chr19,34174387,34174389,+,19:34174388,19,,CHST8,5'UTR,chr19:34175344-34175768,N_Shore,Hypo.MS7
cg15646741,chr1,208021735,208021737,+,1:208021736,1,rs35867852,,,,,Hypo.MS5
cg15651267,chr5,167028534,167028536,-,5:167028535,5,,ODZ2,Body,,,Hypo.MS4
cg15665276,chr22,48899697,48899699,-,22:48899698,22,,FAM19A5,Body,chr22:48896375-48896591,S_Shelf,Hypo.MS7
cg15666214,chr6,108438315,108438317,+,6:108438316,6,,,,chr6:108437998-108441208,Island,Hyper.MS1
cg15684231,chr7,157578630,157578632,+,7:157578631,7,,PTPRN2,Body,chr7:157577685-157577942,S_Shore,Hypo.MS3
cg15686949,chr5,32532222,32532224,+,5:32532223,5,,,,,,Hypo.MS2
cg15687300,chr8,62084456,62084458,-,8:62084457,8,,,,,,Hypo.MS2
cg15690511,chr11,50004209,50004211,+,11:50004210,11,,OR4C12,TSS200,,,Hypo.MS2
cg15691862,chr1,47905437,47905439,-,1:47905438,1,,FOXD2,3'UTR,chr1:47902793-47905518,Island,Hyper.MS2
cg15691862,chr1,47905437,47905439,-,1:47905438,1,,FOXD2,1stExon,chr1:47902793-47905518,Island,Hyper.MS2
cg15692052,chr13,47472249,47472251,+,13:47472250,13,,HTR2A,TSS1500,,,Hypo.MS1
cg15693572,chr3,22412384,22412386,+,3:22412385,3,,,,chr3:22413492-22414365,N_Shore,Hypo.MS2
cg15696460,chr12,131159657,131159659,+,12:131159658,12,,,,,,Hypo.MS4
cg15698244,chr6,76073315,76073317,-,6:76073316,6,,FILIP1,Body,,,Hypo.MS2
cg15699226,chr13,78492677,78492679,-,13:78492678,13,rs5345,EDNRB,1stExon,chr13:78492425-78493382,Island,Hyper.MS3
cg15699226,chr13,78492677,78492679,-,13:78492678,13,rs5345,EDNRB,Body,chr13:78492425-78493382,Island,Hyper.MS3
cg15700197,chr1,159409206,159409208,-,1:159409207,1,,OR10J1,TSS1500,,,Hypo.MS1
cg15701210,chr19,55104603,55104605,+,19:55104604,19,,LILRA1,TSS1500,,,Hypo.MS4
cg15704225,chr2,81427137,81427139,+,2:81427138,2,,,,,,Hypo.MS6
cg15705971,chr11,92110261,92110263,-,11:92110262,11,,FAT3,Body,,,Hypo.MS2
cg15707869,chr8,88884984,88884986,+,8:88884985,8,,DCAF4L2,3'UTR,chr8:88886171-88886445,N_Shore,Hypo.MS7
cg15707869,chr8,88884984,88884986,+,8:88884985,8,,DCAF4L2,1stExon,chr8:88886171-88886445,N_Shore,Hypo.MS7
cg15708405,chr20,23337155,23337157,+,20:23337156,20,,,,chr20:23336868-23337201,Island,Hyper.MS2
cg15733309,chr7,157513706,157513708,-,7:157513707,7,rs72275625,PTPRN2,Body,,,Hypo.MS3
cg15739437,chr5,110407537,110407539,+,5:110407538,5,,TSLP,1stExon,chr5:110408704-110409039,N_Shore,Hypo.MS2
cg15739437,chr5,110407537,110407539,+,5:110407538,5,,TSLP,5'UTR,chr5:110408704-110409039,N_Shore,Hypo.MS2
cg15739437,chr5,110407537,110407539,+,5:110407538,5,,TSLP,TSS1500,chr5:110408704-110409039,N_Shore,Hypo.MS2
cg15745401,chr11,72974125,72974127,+,11:72974126,11,,P2RY6,TSS1500,chr11:72975469-72975797,N_Shore,Hypo.MS1
cg15745817,chr2,67799978,67799980,-,2:67799979,2,rs17033814,,,,,Hypo.MS4
cg15746445,chr2,234824932,234824934,+,2:234824933,2,,TRPM8,TSS1500,,,Hypo.MS3
cg15746620,chr19,14785848,14785850,-,19:14785849,19,,EMR3,TSS200,,,Hypo.MS2
cg15754112,chr10,78864252,78864254,-,10:78864253,10,,KCNMA1,Body,,,Hypo.MS1
cg15754594,chr2,106184687,106184689,+,2:106184688,2,,,,,,Hyper.MS1
cg15759721,chr17,57918629,57918631,-,17:57918630,17,,MIR21,Body,,,Hypo.MS1
cg15791108,chr17,2653570,2653572,+,17:2653571,17,,,,chr17:2652454-2653372,S_Shore,Hypo.MS2
cg15791815,chr4,93517546,93517548,-,4:93517547,4,,GRID2,Body,,,Hypo.MS7
cg15798385,chr7,27281568,27281570,-,7:27281569,7,,EVX1,TSS1500,chr7:27282086-27283136,N_Shore,Hyper.MS3
cg15808426,chr19,57154301,57154303,-,19:57154302,19,,,,chr19:57154197-57155015,Island,Hyper.MS1
cg15810386,chr5,31362490,31362492,+,5:31362491,5,,,,,,Hypo.MS6
cg15811371,chr19,9093197,9093199,+,19:9093198,19,,MUC16,TSS1500,,,Hypo.MS4
cg15811427,chr19,52254221,52254223,-,19:52254222,19,,FPR1,5'UTR,,,Hypo.MS4
cg15811515,chr16,31580988,31580990,-,16:31580989,16,,CSDAP1,TSS200,chr16:31580559-31581023,Island,Hyper.MS3
cg15818715,chr22,44577210,44577212,+,22:44577211,22,,PARVG,TSS200,,,Hypo.MS7
cg15818715,chr22,44577210,44577212,+,22:44577211,22,,PARVG,5'UTR,,,Hypo.MS7
cg15818715,chr22,44577210,44577212,+,22:44577211,22,,PARVG,Body,,,Hypo.MS7
cg15819128,chr2,238604019,238604021,-,2:238604020,2,,LRRFIP1,Body,chr2:238599857-238601430,S_Shelf,Hypo.MS1
cg15822765,chr6,28956386,28956388,-,6:28956387,6,rs3129792,,,chr6:28956106-28956578,Island,Hyper.MS3
cg15829088,chr1,247802934,247802936,+,1:247802935,1,rs28377211,,,chr1:247802738-247803141,Island,Hyper.MS3
cg15834072,chr4,155411602,155411604,-,4:155411603,4,rs13130030,DCHS2,1stExon,chr4:155410623-155413393,Island,Hyper.MS3
cg15835664,chr1,62787265,62787267,-,1:62787266,1,,,,chr1:62784136-62785133,S_Shelf,Hypo.MS1
cg15836317,chr5,2252877,2252879,-,5:2252878,5,rs73732649,,,,,Hypo.MS3
cg15842276,chr11,92702647,92702649,+,11:92702648,11,,MTNR1B,TSS200,chr11:92702789-92703434,N_Shore,Hyper.MS2
cg15847600,chr8,143994999,143995001,+,8:143995000,8,,CYP11B2,Body,,,Hypo.MS6
cg15847996,chr10,134528049,134528051,+,10:134528050,10,,INPP5A,Body,chr10:134527742-134528091,Island,Hyper.MS2
cg15852352,chr1,158368888,158368890,-,1:158368889,1,rs56704148,OR10T2,1stExon,,,Hypo.MS6
cg15854847,chr8,23563969,23563971,-,8:23563970,8,,NKX2-6,TSS200,chr8:23562475-23565175,Island,Hyper.MS3
cg15856748,chr13,101629968,101629970,-,13:101629969,13,,,,,,Hypo.MS7
cg15858166,chr12,130953550,130953552,-,12:130953551,12,,RIMBP2,Body,chr12:130953626-130953829,N_Shore,Hypo.MS5
cg15858970,chr6,46714020,46714022,-,6:46714021,6,rs28399199,LOC100287718,TSS1500,,,Hypo.MS3
cg15861585,chr11,637037,637039,-,11:637038,11,,DRD4,TSS1500,chr11:636906-640628,Island,Hyper.MS3
cg15867307,chr2,238110828,238110830,-,2:238110829,2,,,,,,Hypo.MS3
cg15873149,chr3,147137179,147137181,+,3:147137180,3,,,,chr3:147136903-147137328,Island,Hyper.MS1
cg15873301,chr3,12045458,12045460,+,3:12045459,3,,SYN2,TSS1500,chr3:12045652-12046627,N_Shore,Hyper.MS1
cg15876968,chr1,85086321,85086323,+,1:85086322,1,,,,chr1:85086321-85086766,Island,Hypo.MS2
cg15887459,chr11,18230902,18230904,+,11:18230903,11,,LOC494141,Body,chr11:18230619-18230906,Island,Hyper.MS1
cg15888097,chr6,87646461,87646463,+,6:87646462,6,,HTR1E,TSS1500,chr6:87647253-87647707,N_Shore,Hypo.MS7
cg15898113,chr8,142532181,142532183,-,8:142532182,8,,,,chr8:142528185-142529029,S_Shelf,Hypo.MS2
cg15898536,chr5,1753300,1753302,+,5:1753301,5,,,,,,Hypo.MS3
cg15902390,chr15,37387437,37387439,-,15:37387438,15,,MEIS2,Body,chr15:37387386-37387614,Island,Hyper.MS2
cg15904283,chr10,23484866,23484868,+,10:23484867,10,,,,chr10:23483897-23484498,S_Shore,Hyper.MS1
cg15905666,chr11,50003962,50003964,-,11:50003963,11,,OR4C12,1stExon,,,Hypo.MS7
cg15908975,chr7,126698828,126698830,-,7:126698829,7,,GRM8,Body,,,Hypo.MS2
cg15908975,chr7,126698828,126698830,-,7:126698829,7,,MIR592,TSS1500,,,Hypo.MS2
cg15911153,chr5,138730782,138730784,-,5:138730783,5,,LOC389333,5'UTR,chr5:138727710-138730911,Island,Hyper.MS2
cg15911153,chr5,138730782,138730784,-,5:138730783,5,,LOC389333,1stExon,chr5:138727710-138730911,Island,Hyper.MS2
cg15922513,chr12,131561250,131561252,-,12:131561251,12,,GPR133,Body,,,Hypo.MS4
cg15929797,chr5,172660795,172660797,-,5:172660796,5,,NKX2-5,Body,chr5:172660720-172661133,Island,Hyper.MS1
cg15931949,chr3,138662314,138662316,+,3:138662315,3,,,,chr3:138663718-138666346,N_Shore,Hyper.MS3
cg15936446,chr5,42952368,42952370,+,5:42952369,5,,,,chr5:42951076-42952410,Island,Hyper.MS2
cg15938050,chr17,68984116,68984118,-,17:68984117,17,,,,,,Hyper.MS2
cg15941014,chr2,31439686,31439688,-,2:31439687,2,,CAPN14,5'UTR,,,Hypo.MS4
cg15952370,chr11,124190996,124190998,+,11:124190997,11,,OR8D2,TSS1500,,,Hypo.MS6
cg15952487,chr1,158300732,158300734,+,1:158300733,1,,CD1B,Body,,,Hypo.MS6
cg15954353,chr17,5403336,5403338,-,17:5403337,17,,LOC728392,3'UTR,chr17:5403131-5404602,Island,Hyper.MS2
cg15957055,chr3,62861054,62861056,+,3:62861055,3,,CADPS,1stExon,chr3:62859617-62861190,Island,Hyper.MS2
cg15957055,chr3,62861054,62861056,+,3:62861055,3,,CADPS,5'UTR,chr3:62859617-62861190,Island,Hyper.MS2
cg15959252,chr12,48578723,48578725,+,12:48578724,12,,C12orf68,3'UTR,chr12:48577361-48578574,S_Shore,Hyper.MS2
cg15959252,chr12,48578723,48578725,+,12:48578724,12,,C12orf68,1stExon,chr12:48577361-48578574,S_Shore,Hyper.MS2
cg15961007,chr6,153023278,153023280,+,6:153023279,6,,MYCT1,Body,,,Hypo.MS2
cg15961993,chr3,132930477,132930479,-,3:132930478,3,,TMEM108,5'UTR,,,Hypo.MS2
cg15962197,chr1,41704560,41704562,+,1:41704561,1,,SCMH1,5'UTR,chr1:41706957-41708327,N_Shelf,Hypo.MS1
cg15962744,chr12,114328073,114328075,+,12:114328074,12,,RBM19,Body,,,Hyper.MS2
cg15973075,chr5,12355074,12355076,+,5:12355075,5,,,,,,Hypo.MS7
cg15977096,chr8,34857830,34857832,+,8:34857831,8,,,,,,Hypo.MS1
cg15979173,chr1,91182127,91182129,-,1:91182128,1,,BARHL2,1stExon,chr1:91182097-91182364,Island,Hyper.MS3
cg15985184,chr19,51830310,51830312,-,19:51830311,19,,IGLON5,Body,chr19:51830064-51831145,Island,Hyper.MS1
cg15985905,chr12,128078474,128078476,-,12:128078475,12,,,,,,Hypo.MS2
cg15996534,chr5,150325953,150325955,+,5:150325954,5,,LOC134466,Body,chr5:150325904-150326194,Island,Hyper.MS1
cg15998779,chr3,159756689,159756691,-,3:159756690,3,,,,chr3:159756632-159756997,Island,Hyper.MS3
cg16003102,chr1,241587782,241587784,-,1:241587783,1,,,,chr1:241587601-241587883,Island,Hyper.MS1
cg16005697,chr11,24101780,24101782,+,11:24101781,11,,,,,,Hypo.MS7
cg16008476,chr19,57306639,57306641,-,19:57306640,19,,ZIM2,Body,chr19:57306682-57307032,N_Shore,Hypo.MS7
cg16009120,chr12,8686706,8686708,-,12:8686707,12,,CLEC4E,3'UTR,,,Hypo.MS6
cg16011217,chr1,152777381,152777383,+,1:152777382,1,,LCE1C,3'UTR,,,Hypo.MS4
cg16015593,chr14,51794931,51794933,+,14:51794932,14,,,,,,Hypo.MS1
cg16021678,chr13,55475950,55475952,-,13:55475951,13,rs76868310,,,,,Hypo.MS2
cg16032894,chr11,30605410,30605412,-,11:30605411,11,,MPPED2,5'UTR,chr11:30605558-30605800,N_Shore,Hyper.MS2
cg16042259,chr6,100917205,100917207,+,6:100917206,6,rs79933433,,,chr6:100917205-100917523,Island,Hyper.MS3
cg16043357,chr10,118897903,118897905,-,10:118897904,10,,VAX1,TSS200,chr10:118895963-118898037,Island,Hyper.MS3
cg16043651,chr19,30865485,30865487,-,19:30865486,19,,ZNF536,5'UTR,chr19:30865683-30866490,N_Shore,Hyper.MS1
cg16052975,chr17,15821015,15821017,-,17:15821016,17,,,,chr17:15820620-15821325,Island,Hyper.MS1
cg16055526,chr6,33083286,33083288,-,6:33083287,6,,HLA-DPB2,Body,chr6:33084740-33084995,N_Shore,Hypo.MS2
cg16061498,chr18,55095885,55095887,-,18:55095886,18,,,,chr18:55094825-55096310,Island,Hyper.MS3
cg16065021,chr12,127940653,127940655,+,12:127940654,12,,,,chr12:127940451-127940907,Island,Hyper.MS1
cg16072688,chr8,57360710,57360712,+,8:57360711,8,,PENK,TSS1500,chr8:57360585-57360815,Island,Hyper.MS1
cg16072777,chr5,17119011,17119013,-,5:17119012,5,,,,,,Hypo.MS3
cg16073378,chr2,468412,468414,+,2:468413,2,,,,chr2:467849-468659,Island,Hyper.MS1
cg16081281,chr8,23559838,23559840,+,8:23559839,8,,,,chr8:23559838-23560591,Island,Hyper.MS1
cg16086237,chr12,130927255,130927257,+,12:130927256,12,,RIMBP2,Body,,,Hypo.MS5
cg16087432,chr13,114883768,114883770,-,13:114883769,13,rs12860901,RASA3,Body,,,Hypo.MS7
cg16094145,chr12,719490,719492,+,12:719491,12,,NINJ2,Body,chr12:718174-718505,S_Shore,Hypo.MS3
cg16104371,chr4,1538524,1538526,-,4:1538525,4,,,,chr4:1541591-1541868,N_Shelf,Hypo.MS3
cg16104837,chr15,77320671,77320673,-,15:77320672,15,rs72742453,PSTPIP1,Body,chr15:77320150-77320456,S_Shore,Hyper.MS3
cg16105591,chr5,175270183,175270185,-,5:175270184,5,,CPLX2,5'UTR,,,Hypo.MS1
cg16105687,chr19,22805800,22805802,+,19:22805801,19,,,,chr19:22805800-22806721,Island,Hyper.MS3
cg16108230,chr6,117584814,117584816,+,6:117584815,6,,,,chr6:117584584-117584816,Island,Hyper.MS1
cg16109680,chr1,159161343,159161345,-,1:159161344,1,,CADM3,Body,chr1:159158228-159158498,S_Shelf,Hypo.MS6
cg16110704,chr1,242224771,242224773,+,1:242224772,1,,,,chr1:242220749-242221000,S_Shelf,Hypo.MS3
cg16113347,chr14,93899366,93899368,-,14:93899367,14,,KIAA1409,5'UTR,chr14:93896736-93897466,S_Shore,Hypo.MS6
cg16117799,chr4,81106856,81106858,+,4:81106857,4,,PRDM8,5'UTR,chr4:81104761-81105527,S_Shore,Hyper.MS3
cg16120196,chr1,2922568,2922570,-,1:2922569,1,,,,chr1:2918497-2918753,S_Shelf,Hypo.MS5
cg16126286,chr1,243646234,243646236,+,1:243646235,1,,SDCCAG8,Body,chr1:243646394-243646888,N_Shore,Hyper.MS2
cg16142855,chr4,379899,379901,+,4:379900,4,,,,chr4:379899-380399,Island,Hyper.MS1
cg16146849,chr5,1923002,1923004,+,5:1923003,5,,,,,,Hypo.MS4
cg16151261,chr18,75691296,75691298,+,18:75691297,18,,,,chr18:75690494-75690901,S_Shore,Hypo.MS5
cg16162122,chr20,62090269,62090271,-,20:62090270,20,,KCNQ2,Body,chr20:62092326-62092586,N_Shelf,Hypo.MS2
cg16163382,chr2,37938639,37938641,-,2:37938640,2,rs74546381,,,,,Hypo.MS1
cg16166230,chr17,32480662,32480664,-,17:32480663,17,,ACCN1,Body,chr17:32484007-32484280,N_Shelf,Hypo.MS5
cg16167060,chr2,235934944,235934946,+,2:235934945,2,rs61260198,SH3BP4,5'UTR,,,Hypo.MS1
cg16167524,chr17,47035957,47035959,-,17:47035958,17,,GIP,3'UTR,,,Hypo.MS6
cg16170380,chr6,29395393,29395395,-,6:29395394,6,,OR11A1,1stExon,,,Hypo.MS6
cg16171771,chr3,34187749,34187751,-,3:34187750,3,,,,,,Hypo.MS3
cg16176378,chr8,34843232,34843234,-,8:34843233,8,rs4631463,,,,,Hypo.MS1
cg16179952,chr2,947116,947118,+,2:947117,2,,SNTG2,Body,chr2:946881-947286,Island,Hyper.MS2
cg16180796,chr7,23245899,23245901,+,7:23245900,7,,,,chr7:23245556-23246161,Island,Hyper.MS1
cg16190266,chr14,38680854,38680856,+,14:38680855,14,,SSTR1,3'UTR,chr14:38678245-38680937,Island,Hyper.MS2
cg16197388,chr19,43227391,43227393,+,19:43227392,19,,PSG3,3'UTR,,,Hypo.MS2
cg16204509,chr12,105478581,105478583,-,12:105478582,12,,ALDH1L2,TSS1500,chr12:105478089-105478517,S_Shore,Hyper.MS2
cg16211174,chr7,27249650,27249652,-,7:27249651,7,rs28357163,,,chr7:27252681-27253835,N_Shelf,Hypo.MS1
cg16226642,chr11,7847875,7847877,-,11:7847876,11,,OR5P3,TSS1500,,,Hypo.MS5
cg16228359,chr11,68065709,68065711,+,11:68065710,11,,,,,,Hypo.MS4
cg16232126,chr2,108603004,108603006,-,2:108603005,2,,SLC5A7,1stExon,chr2:108602824-108603467,Island,Hyper.MS1
cg16232126,chr2,108603004,108603006,-,2:108603005,2,,SLC5A7,5'UTR,chr2:108602824-108603467,Island,Hyper.MS1
cg16234557,chr10,119292061,119292063,+,10:119292062,10,,EMX2OS,Body,chr10:119293917-119297675,N_Shore,Hyper.MS3
cg16234978,chr7,1704094,1704096,+,7:1704095,7,,,,chr7:1703861-1710517,Island,Hyper.MS1
cg16235582,chr11,78673211,78673213,-,11:78673212,11,,ODZ4,Body,chr11:78673007-78673213,Island,Hyper.MS3
cg16237191,chr12,55945612,55945614,+,12:55945613,12,,OR6C4,1stExon,,,Hypo.MS6
cg16240162,chr3,147106889,147106891,-,3:147106890,3,,ZIC4,Body,chr3:147108511-147111703,N_Shore,Hyper.MS1
cg16242629,chr12,30354245,30354247,-,12:30354246,12,rs80314487,,,chr12:30353915-30354612,Island,Hyper.MS1
cg16247183,chr1,225865109,225865111,-,1:225865110,1,,,,chr1:225865068-225865328,Island,Hyper.MS3
cg16247912,chr5,2252938,2252940,-,5:2252939,5,,,,,,Hypo.MS2
cg16257533,chr11,131934834,131934836,-,11:131934835,11,,NTM,Body,,,Hypo.MS5
cg16265542,chr1,152814830,152814832,-,1:152814831,1,rs6673420,LCE6A,TSS1500,,,Hypo.MS2
cg16267322,chr14,92864073,92864075,-,14:92864074,14,,SLC24A4,Body,,,Hypo.MS2
cg16269733,chr1,156616803,156616805,+,1:156616804,1,,BCAN,Body,chr1:156616553-156616946,Island,Hyper.MS3
cg16271437,chr20,23123951,23123953,-,20:23123952,20,,,,,,Hypo.MS3
cg16276063,chr3,181421702,181421704,-,3:181421703,3,,SOX2OT,Body,,,Hyper.MS1
cg16279861,chr11,128531311,128531313,-,11:128531312,11,rs76248353,,,,,Hypo.MS2
cg16281600,chr5,152869430,152869432,+,5:152869431,5,,GRIA1,TSS1500,,,Hypo.MS7
cg16284238,chr6,87196594,87196596,+,6:87196595,6,,,,,,Hypo.MS7
cg16284507,chr10,18334433,18334435,+,10:18334434,10,,,,,,Hypo.MS5
cg16287451,chr8,145936946,145936948,+,8:145936947,8,,,,chr8:145938492-145939708,N_Shore,Hypo.MS5
cg16288089,chr7,97361407,97361409,+,7:97361408,7,,TAC1,5'UTR,chr7:97361132-97363018,Island,Hyper.MS1
cg16288089,chr7,97361407,97361409,+,7:97361408,7,,TAC1,1stExon,chr7:97361132-97363018,Island,Hyper.MS1
cg16291276,chr1,208084070,208084072,-,1:208084071,1,,CD34,Body,chr1:208084098-208084513,N_Shore,Hyper.MS3
cg16294013,chr1,66258021,66258023,+,1:66258022,1,,PDE4B,TSS200,chr1:66258440-66258918,N_Shore,Hyper.MS3
cg16294013,chr1,66258021,66258023,+,1:66258022,1,,PDE4B,TSS1500,chr1:66258440-66258918,N_Shore,Hyper.MS3
cg16294566,chr11,32458655,32458657,+,11:32458656,11,,WIT1,Body,chr11:32459422-32459878,N_Shore,Hyper.MS1
cg16298813,chr1,2878454,2878456,-,1:2878455,1,rs12081983,,,chr1:2876545-2876808,S_Shore,Hypo.MS4
